name,addressLine,city,neighboorhoud,postcode,latitude,longitude
BALLYDREHID N S,BALLYDUFF CO. WATERFORD,WATERFORD,WATERFORD,P51C673,52.1420614,-8.0510593
BALLYDUFF B 2 N S,BALLYDUFF TRALEE CO. KERRY,KERRY,KERRY,V92E796,52.4529082,-9.6664512
BALLYDUFF NATIONAL SCHOOL,BALLYDUFF WEST KILMEADEN CO. WATERFORD,WATERFORD,WATERFORD,X91Y510,52.2324422,-7.2689824
BALLYDUFF N S,BALLYDUFF CAMOLIN CO. WEXFORD,WEXFORD,WEXFORD,Y21XY30,52.6369541,-6.4683286
BALLYDUFF N S,BALLYEA DARRAGH ENNIS CO. CLARE,CLARE,CLARE,V95Y025,52.2324422,-7.2689824
BALLYFORAN MIXED N S,SCHOOL ROAD BALLYGARVAN CO. CORK,CORK,CORK,T12RY1T,53.4700864,-8.270058
BALLYGARVAN N S,CASTLETOWNROCHE CO. CORK,CORK,CORK,P51FK18,51.8237789,-8.4602438
BALLYGOWN NS,BALLYGUILTENANE UPPER GLIN CO. LIMERICK,LIMERICK,LIMERICK,V94T2W9,52.524211,-9.2909296
BALLYGUILTENANE N S,TOWNPARK BALLYHAISE CO. CAVAN,CAVAN,CAVAN,H12F825,53.9765424,-7.2996623
BALLYHAISE N S,BALLYHASS CECILSTOWN CO. CORK,CORK,CORK,P51K590,54.0473393,-7.3155093
BALLYHASS MIXED N S,KNOCK ROAD BALLYHAUNIS CO.MAYO,MAYO,MAYO,F35RF63,52.1703162,-8.7968231
BALLYHAUNIS COMMUNITY SCHOOL,BALLYHEA RATHLUIRC CO. CORK,CORK,CORK,P56KA44,53.7628378,-8.7645957
BALLYHEA N S,BALLINHASSIG CO. CORK,CORK,CORK,T12KT99,52.3086124,-8.6640347
BALLYHEEDA N S,BALLINAMERE TULLAMORE CO. OFFALY,OFFALY,OFFALY,R35AW83,53.2877581,-7.5626381
BALLYLANDERS N S,CAHIR CO TIPPERARY,TIPPERARY,TIPPERARY,E21EC66,52.3262368,-7.9858389
BALLYLOOBY N S,BALLYMACARBRY VIA CLONMEL CO. WATERFORD,WATERFORD,WATERFORD,E91E426,52.2593197,-7.1100703
BALLYMACARBERRY N S,FLEMBY BALLYMACELLIGOTT CO. KERRY,KERRY,KERRY,V92V243,52.2385586,-9.6143443
BALLYMACELLIGOTT 1 N S,BALLYMACWARD CENTRAL SC BALLINASLOE CO GALWAY,GALWAY,GALWAY,H53NX21,53.3564509,-8.8534113
BALLYMACWARD CENTRAL SC,BALLYMAHON CO LONGFORD,LONGFORD,LONGFORD,N39HK23,34.7242749,-82.7812526
BALLYMAHON VOCATIONAL SCHOOL,BALLYMAKENNY ROAD DROGHEDA,LOUTH,LOUTH,A92XET2,53.5643632,-7.7645964
BALLYMAKENNY COLLEGE,BALLYMANA CRAUGHWELL CO. GALWAY,GALWAY,GALWAY,H91A3P1,53.274001,-9.0512662
