"AIRO_ID","Roll_No","Off_Name","Add_1","Add_2","Add_3","Add_4","County","Gender","Pupil_Att","Irish_Lan","Fee","Ethos","F_13_14","M_13_14","xcoord","ycoord","Long","Lat"
419,"70420R","Carlow Vocational School","Kilkenny Road","Carlow","Co. Carlow","","Carlow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",555,466,271798,175823,271798,175823
420,"70430U","Vocational School Muine Bheag","Muine Bheag","Co Carlow","","","Carlow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",104,116,270980,161698,270980,161698
421,"70440A","Gaelcholáiste Cheatharlach","Easca","Ceatharlach","","","Carlow","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",190,175,273462,176763,273462,176763
422,"70450D","Killarney Community College","New Road","Killarney","Co Kerry","","Kerry","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",190,219,95859,91078,95859,91078
423,"70460G","Community College Killorglin","Killorglin","Co Kerry","","","Kerry","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",79,108,77794,95672,77794,95672
424,"70500P","Listowel Community College","Listowel","Co Kerry","","","Kerry","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",177,115,99483,133970,99483,133970
425,"70520V","Castleisland Community College","Tonbwee","Castleisland","Co. Kerry","","Kerry","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",100,171,100513,109340,100513,109340
426,"70540E","Causeway Comprehensive School","Causeway","Tralee","Co Kerry","","Kerry","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",281,311,81916,130298,81916,130298
427,"70550H","Tralee Community College","Clash","Tralee","","","Kerry","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",331,229,84949,114707,84949,114707
428,"70560K","Gaelcholáiste Chiarraí","Tobar Mhaigh Dor","Trá Lí","Co Chiarraí","","Kerry","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",144,171,84053,114073,84053,114073
429,"70570N","Scoil Aireagail","Ballyhale","Kilkenny","","","Kilkenny","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",96,137,253518,136612,253518,136612
430,"70590T","Duiske College","Graignamanagh","Co Kilkenny","","","Kilkenny","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",60,77,270792,143637,270792,143637
431,"70600T","Coláiste Mhuire","Johnstown","Co Kilkenny","","","Kilkenny","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",196,264,229803,165970,229803,165970
432,"70610W","City Vocational School","New Street,","Kilkenny","","","Kilkenny","Mixed","Day","Some pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",227,185,250510,155392,250510,155392
433,"70620C","Coláiste Cois Siúire","Mooncoin","Co Kilkenny","","","Kilkenny","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",52,93,251450,115622,251450,115622
434,"70640I","Grennan College","Ladywell St","Thomastown","Co Kilkenny","","Kilkenny","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",200,191,258244,142181,258244,142181
435,"70641K","Coláiste Pobail Osraí","Bóthar Urmhumhan","Cill Chainnigh","","","Kilkenny","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",87,92,250617,155505,250617,155505
436,"70650L","Athy Community College","Tomard","Athy","Co Kildare","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",163,176,268585,193382,268585,193382
437,"70660O","Curragh Post-Primary School","McSwiney Road","Curragh","Co Kildare","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",77,82,278486,211422,278486,211422
438,"70670R","Colaiste Lorcain","Castledermot","Co. Kildare","","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",164,176,278215,184837,278215,184837
439,"70680U","St Conleth's Community College","Station Road","Newbridge","Co Kildare","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",266,237,280219,215313,280219,215313
440,"70691C","Confey Community College","Confey","Leixlip","Co Kildare","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",356,433,299984,236919,299984,236919
441,"70700A","Maynooth Post Primary School","Moyglare Rd","Maynooth","Co Kildare","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",591,616,293441,238046,293441,238046
442,"70710D","Piper's Hill College","Killashee","Naas","Co. Kildare","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",430,490,288966,216892,288966,216892
443,"70720G","St Farnan's Post Primary School","Prosperous","Co. Kildare","","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",210,297,283322,226977,283322,226977
444,"70730J","Ardscoil Rath Iomgháin","Rathangan","Co Kildare","","","Kildare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",365,307,267221,219072,267221,219072
445,"70740M","Arklow Community College","Coolgreaney Rd","Arklow","Co Wicklow","","Wicklow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",169,162,323271,173201,323271,173201
446,"70750P","Scoil Chonglais","Baltinglass","Co Wicklow","","","Wicklow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",256,256,287377,188208,287377,188208
447,"70760S","Blessington Community College","Naas Rd","Blessington","Co Wicklow","","Wicklow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",155,177,297722,214278,297722,214278
448,"70770V","St Thomas' Community College","Novara Avenue","Bray","Co. Wicklow","","Wicklow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",538,534,326569,218334,326569,218334
449,"70790E","Coláiste Bhríde Carnew","Carnew","Co.Wicklow","","","Wicklow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",428,443,301297,163093,301297,163093
450,"70800E","St Kevin's Community College","Dunlavin","Co Wicklow","","","Wicklow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",304,264,287431,201152,287431,201152
451,"70810H","Avondale Community College","Rathdrum","Co Wicklow","","","Wicklow","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",236,317,318652,188496,318652,188496
452,"70821M","Coláiste Raithín","Bóthar Florence","Bré","Co Chill Mhantain","","Wicklow","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",117,137,326698,218700,326698,218700
453,"70830N","Ennis Community College","Ennis","Co Clare","","","Clare","Mixed","Day","Some pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",277,237,133503,177780,133503,177780
454,"70840Q","Ennistymon Vocational School","Ennistymon","Ennis","Co Clare","","Clare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",54,107,112988,188457,112988,188457
455,"70860W","St Michael's Community College","Kilmihill","Co Clare","","","Clare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",120,114,110786,164522,110786,164522
456,"70880F","St Joseph's Community College","Carrigholt Rd.","Kilkee","Co. Clare","","Clare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",88,81,88420,159392,88420,159392
457,"70900I","Scariff Community College","Scariff","Co Clare","","","Clare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",178,175,164009,183628,164009,183628
458,"70901K","St Anne's Community College","Killaloe","Co Clare","","","Clare","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",264,279,170321,172447,170321,172447
459,"70910L","St. Brogan's College, Bandon","Kilbrogan","Bandon","Co Cork","","Cork","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",259,414,149087,55896,149087,55896
460,"70920O","Colaiste Ghobnatan","Baile Mhic Ire","Co Chorcaí","","","Cork","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",108,113,120569,76919,120569,76919
461,"70931T","Scoil Mhuire","Béal Atha an Ghaorthaidh","Co Chorcaí","","","Cork","Mixed","Day","All pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",66,40,114963,66959,114963,66959
462,"70950A","Clonakilty Community College","Clonakilty","Co Cork","","","Cork","Mixed","Day","Some pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",86,511,138619,41674,138619,41674
463,"70960D","Coachford College","Coachford","Co Cork","","","Cork","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",275,291,145447,73541,145447,73541
464,"70970G","Cobh Community College","Carrignafoy","Cobh","Co. Cork","","Cork","Mixed","Day","Some pupils taught some subjects through Irish","N","INTER DENOMINATIONAL",134,126,180306,66964,180306,66964
465,"70990M","Coláiste an Chraoibhin","Duntaheen Road","Fermoy","Co Cork","","Cork","Mixed","Day","Some pupils taught all subjects through Irish","N","INTER DENOMINATIONAL",247,378,180515,98128,180515,98128
466,"71000A","Colaiste Treasa","Kanturk","Co Cork","","","Cork","Mixed","Day","No subjects taught through Irish","N","INTER DENOMINATIONAL",222,257,138395,103216,138395,103216
